"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
5833,"Females",2004,0,"Lambs",2004,0.27163,63,2.0761679233044,30,"E",0
5921,"Males",2004,0,"Lambs",2004,0.16815,64,2.14710340862813,30,"G",0
6940,"Males",2008,0,"Lambs",2008,0.1331,42,1.73938327251407,30,"A",0
4363,"Females",2000,0,"Lambs",2000,0.07973,59,1.6785275095562,30,"E",0
6174,"Females",2005,0,"Lambs",2005,0.15528,62,1.80738213160897,30,"F",1
6945,"Females",2008,0,"Lambs",2008,0.06527,41,1.28901384318644,30,"G",1
6904,"Females",2008,0,"Lambs",2008,0.34154,42,1.95664417001625,31,"B",1
5896,"Males",2004,0,"Lambs",2004,0.0399,64,2.24375090367619,31,"C",0
6164,"Females",2005,0,"Lambs",2005,0.70032,62,1.87373715600731,31,"E",1
6869,"Males",2008,0,"Lambs",2008,0.21133,42,2.0472108827141,31,"G",1
6939,"Females",2008,0,"Lambs",2008,0.19788,42,1.94731387559472,31,"C",1
6974,"Females",2008,0,"Lambs",2008,0.12405,41,2.02079417080723,31,"G",1
4395,"Females",2000,0,"Lambs",2000,0.20829,59,2.16292433943503,31,"A",1
5778,"Females",2004,0,"Lambs",2004,0.18113,63,1.87296866871839,31,"C",0
6020,"Females",2004,0,"Lambs",2004,0.06592,65,2.20382138485687,31,"D",0
9126,"Males",2013,0,"Lambs",2013,0.20326,17,2.06567892807854,31,"B",1
5974,"Males",2004,0,"Lambs",2004,0.08379,64,2.13724402268995,31,"C",0
5922,"Males",2004,0,"Lambs",2004,0.09927,64,2.53160168763929,31,"A",0
5804,"Females",2004,0,"Lambs",2004,0.60588,63,2.12014103897224,32,"F",0
5886,"Females",2004,0,"Lambs",2004,0.48947,64,2.00212326338761,32,"H",0
6002,"Males",2004,0,"Lambs",2004,0.21443,65,2.1958986703158,32,"B",0
7056,"Females",2008,0,"Lambs",2008,0.27335,41,1.87824018474176,32,"D",1
5931,"Males",2004,0,"Lambs",2004,0.97473,64,2.07449317555653,32,"F",0
6929,"Females",2008,0,"Lambs",2008,0.16201,42,1.64609255620321,32,"G",1
5914,"Females",2004,0,"Lambs",2004,0.05489,63,1.76801456256281,32,"H",0
7061,"Males",2008,0,"Lambs",2008,0.25501,41,1.74560083670864,32,"A",0
6948,"Females",2008,0,"Lambs",2008,0.33119,41,1.80357836657698,32,"C",1
9208,"Females",2013,0,"Lambs",2013,0.10141,17,1.81890361593998,32,"F",1
7059,"Females",2008,0,"Lambs",2008,0.144,41,2.00120545767073,32,"B",0
5728,"Females",2004,0,"Lambs",2004,0.30643,63,1.57817683998978,32,"G",0
5932,"Males",2004,0,"Lambs",2004,0.33834,64,2.14185639487968,32,"A",0
6124,"Females",2005,0,"Lambs",2005,0.43434,62,2.42202395486108,32,"D",1
6171,"Females",2005,0,"Lambs",2005,0.25603,62,1.60880238138091,32,"G",1
5973,"Males",2004,0,"Lambs",2004,0.17183,64,2.55677179696008,33,"A",0
4514,"Males",2000,0,"Lambs",2000,0.04608,60,2.10159825169623,33,"B",0
6200,"Females",2005,0,"Lambs",2005,0.36086,62,1.70077660829342,33,"E",0
5976,"Females",2004,0,"Lambs",2004,0.20729,64,2.13639805502056,33,"G",0
6910,"Females",2008,0,"Lambs",2008,0.0693,42,2.0071125058819,33,"A",1
4505,"Males",2000,0,"Lambs",2000,0.03661,60,1.53871539674839,33,"B",1
6972,"Females",2008,0,"Lambs",2008,0.27885,41,1.96944584288374,33,"H",1
4447,"Males",2000,0,"Lambs",2000,0.17189,59,2.14337397461217,33,"B",1
5744,"Males",2004,0,"Lambs",2004,0.07118,63,2.30864168199844,33,"C",0
